,loss,global_pointer_f1_score
0,2.423983583839651,0.2929689194220318
1,0.6257148381674974,0.6764400242891828
2,0.5149639189098763,0.7414903901427045
3,0.4616839932691887,0.7718455629090484
4,0.4211709788950008,0.7993937304353367
5,0.39499182217335066,0.8135606999732644
6,0.36753533579403097,0.8271792338755984
7,0.3501029070722739,0.8350707586484275
8,0.332090294953788,0.8453068490363748
9,0.32404959290954694,0.852359038692573
10,0.305221394487418,0.8608856176597608
11,0.2934125940298109,0.8674787212112014
12,0.28447326205869594,0.8716729209610022
13,0.2757810857764347,0.8761718545407178
14,0.2650531271627668,0.8804592619331594
15,0.2556422580946041,0.8850126307436604
16,0.24722591517139272,0.8880267544629213
17,0.23643517212320356,0.8953177662462406
18,0.22971003991081143,0.8965493201149406
19,0.22182930554221886,0.9014690596438649
20,0.21797036592191327,0.9038337108196515
21,0.20807327579468995,0.9080615524042973
22,0.20061430062800525,0.9126532540845601
23,0.19110740800730722,0.9147498753635558
24,0.1842685407607326,0.9171581125683426
25,0.1796274023159146,0.9228848972046867
